Electoral wards and divisions Code,Electoral wards and divisions,Sex (2 categories) Code,Sex (2 categories),Observation
E05013806,St James's (Westminster),1,Female,4977
E05013806,St James's (Westminster),2,Male,5384
E05013807,Vincent Square,1,Female,5376
E05013807,Vincent Square,2,Male,4951
E05013808,West End (Westminster),1,Female,5590
E05013808,West End (Westminster),2,Male,5953
E05013809,Westbourne (Westminster),1,Female,6192
E05013809,Westbourne (Westminster),2,Male,5494
E05013810,Abbey (Merton),1,Female,5377
E05013810,Abbey (Merton),2,Male,5157
E05013811,Cannon Hill,1,Female,4977
E05013811,Cannon Hill,2,Male,4814
E05013812,Colliers Wood,1,Female,5910
E05013812,Colliers Wood,2,Male,5650
E05013813,Cricket Green,1,Female,6075
E05013813,Cricket Green,2,Male,5641
E05013814,Figge's Marsh,1,Female,6053
E05013814,Figge's Marsh,2,Male,5756
E05013815,Graveney,1,Female,5946
E05013815,Graveney,2,Male,5889
E05013816,Hillside (Merton),1,Female,4314
E05013816,Hillside (Merton),2,Male,3928
E05013817,Lavender Fields,1,Female,5809
E05013817,Lavender Fields,2,Male,5560
E05013818,Longthornton,1,Female,6114
E05013818,Longthornton,2,Male,5789
E05013819,Lower Morden,1,Female,5798
E05013819,Lower Morden,2,Male,5543
E05013820,Merton Park,1,Female,4175
E05013820,Merton Park,2,Male,4119
E05013821,Pollards Hill,1,Female,5969
E05013821,Pollards Hill,2,Male,5677
E05013822,Ravensbury,1,Female,4880
E05013822,Ravensbury,2,Male,4600
E05013823,Raynes Park,1,Female,6442
E05013823,Raynes Park,2,Male,5860
E05013824,St Helier,1,Female,5755
E05013824,St Helier,2,Male,5557
E05013825,Village (Merton),1,Female,6239
E05013825,Village (Merton),2,Male,5565
E05013826,Wandle (Merton),1,Female,2944
E05013826,Wandle (Merton),2,Male,2659
E05013827,West Barnes,1,Female,5409
E05013827,West Barnes,2,Male,5201
E05013828,Wimbledon Park,1,Female,5756
E05013828,Wimbledon Park,2,Male,5315
E05013829,Wimbledon Town & Dundonald,1,Female,6590
E05013829,Wimbledon Town & Dundonald,2,Male,6376
E05013882,Cann Hall (Waltham Forest),1,Female,8142
E05013882,Cann Hall (Waltham Forest),2,Male,8178
E05013883,Cathall,1,Female,5135
E05013883,Cathall,2,Male,5348
E05013884,Chapel End,1,Female,7009
E05013884,Chapel End,2,Male,6605
E05013885,Chingford Green,1,Female,5867
E05013885,Chingford Green,2,Male,5534
E05013886,Endlebury,1,Female,4775
E05013886,Endlebury,2,Male,4547
E05013887,Forest (Waltham Forest),1,Female,8687
E05013887,Forest (Waltham Forest),2,Male,8570
E05013888,Grove Green,1,Female,7496
E05013888,Grove Green,2,Male,7250
E05013889,Hale End & Highams Park South,1,Female,5053
E05013889,Hale End & Highams Park South,2,Male,4765
E05013890,Hatch Lane & Highams Park North,1,Female,6806
E05013890,Hatch Lane & Highams Park North,2,Male,6145
E05013891,High Street (Waltham Forest),1,Female,5856
E05013891,High Street (Waltham Forest),2,Male,5708
E05013892,Higham Hill,1,Female,7399
E05013892,Higham Hill,2,Male,6913
E05013893,Hoe Street,1,Female,7322
E05013893,Hoe Street,2,Male,6954
E05013894,Larkswood,1,Female,6919
E05013894,Larkswood,2,Male,6616
E05013895,Lea Bridge (Waltham Forest),1,Female,7659
E05013895,Lea Bridge (Waltham Forest),2,Male,7865
E05013896,Leyton,1,Female,6713
E05013896,Leyton,2,Male,6401
E05013897,Leytonstone,1,Female,6222
E05013897,Leytonstone,2,Male,6016
E05013898,Markhouse,1,Female,4653
E05013898,Markhouse,2,Male,4621
E05013899,St James (Waltham Forest),1,Female,6138
E05013899,St James (Waltham Forest),2,Male,5605
E05013900,Upper Walthamstow,1,Female,4213
E05013900,Upper Walthamstow,2,Male,3982
E05013901,Valley (Waltham Forest),1,Female,7170
E05013901,Valley (Waltham Forest),2,Male,6914
E05013902,William Morris,1,Female,7770
E05013902,William Morris,2,Male,7289
E05013903,Wood Street,1,Female,4947
E05013903,Wood Street,2,Male,4647
E05013904,Beckton,1,Female,8422
E05013904,Beckton,2,Male,7724
E05013905,Boleyn,1,Female,7443
E05013905,Boleyn,2,Male,7664
E05013906,Canning Town North,1,Female,5309
E05013906,Canning Town North,2,Male,5264
E05013907,Canning Town South,1,Female,3588
E05013907,Canning Town South,2,Male,3534
E05013908,Custom House,1,Female,9034
E05013908,Custom House,2,Male,8625
E05013909,East Ham,1,Female,7663
E05013909,East Ham,2,Male,7466
E05013910,East Ham South,1,Female,9391
E05013910,East Ham South,2,Male,9125
E05013911,Forest Gate North,1,Female,5563
E05013911,Forest Gate North,2,Male,5424
E05013912,Forest Gate South,1,Female,8883
E05013912,Forest Gate South,2,Male,8891
E05013913,Green Street East,1,Female,8409
E05013913,Green Street East,2,Male,8564
E05013914,Green Street West,1,Female,7435
E05013914,Green Street West,2,Male,8355
E05013915,Little Ilford,1,Female,8975
E05013915,Little Ilford,2,Male,8572
E05013916,Manor Park (Newham),1,Female,7823
E05013916,Manor Park (Newham),2,Male,8009
E05013917,Maryland,1,Female,6297
E05013917,Maryland,2,Male,6158
E05013918,Plaistow North,1,Female,9199
E05013918,Plaistow North,2,Male,9091
E05013919,Plaistow South,1,Female,6751
E05013919,Plaistow South,2,Male,6422
E05013920,Plaistow West & Canning Town East,1,Female,8609
E05013920,Plaistow West & Canning Town East,2,Male,8087
E05013921,Plashet,1,Female,5479
E05013921,Plashet,2,Male,6138
E05013922,Royal Albert,1,Female,4808
E05013922,Royal Albert,2,Male,4498
E05013923,Royal Victoria,1,Female,7197
E05013923,Royal Victoria,2,Male,7341
E05013924,Stratford,1,Female,7648
E05013924,Stratford,2,Male,8093
E05013925,Stratford Olympic Park,1,Female,5825
E05013925,Stratford Olympic Park,2,Male,6034
E05013926,Wall End,1,Female,8106
E05013926,Wall End,2,Male,8396
E05013927,West Ham,1,Female,7863
E05013927,West Ham,2,Male,7837
E05013928,Alexandra (Kingston upon Thames),1,Female,3282
E05013928,Alexandra (Kingston upon Thames),2,Male,3131
E05013929,Berrylands,1,Female,3086
E05013929,Berrylands,2,Male,3028
E05013930,Canbury Gardens,1,Female,4220
E05013930,Canbury Gardens,2,Male,4043
E05013931,Chessington South & Malden Rushett,1,Female,4916
E05013931,Chessington South & Malden Rushett,2,Male,4572
E05013932,Coombe Hill,1,Female,3932
E05013932,Coombe Hill,2,Male,3486
E05013933,Coombe Vale,1,Female,5406
E05013933,Coombe Vale,2,Male,5050
E05013934,Green Lane & St James,1,Female,3674
E05013934,Green Lane & St James,2,Male,3377
E05013935,Hook & Chessington North,1,Female,5717
E05013935,Hook & Chessington North,2,Male,5391
E05013936,King George's & Sunray,1,Female,2897
E05013936,King George's & Sunray,2,Male,2708
E05013937,Kingston Gate,1,Female,5624
E05013937,Kingston Gate,2,Male,5200
E05013938,Kingston Town,1,Female,5442
E05013938,Kingston Town,2,Male,4847
E05013939,Motspur Park & Old Malden East,1,Female,3603
E05013939,Motspur Park & Old Malden East,2,Male,3386
E05013940,New Malden Village,1,Female,5026
E05013940,New Malden Village,2,Male,4556
E05013941,Norbiton,1,Female,5879
E05013941,Norbiton,2,Male,5308
E05013942,Old Malden,1,Female,3387
E05013942,Old Malden,2,Male,3311
E05013943,St Mark's & Seething Wells,1,Female,6119
E05013943,St Mark's & Seething Wells,2,Male,5690
E05013944,Surbiton Hill,1,Female,5480
E05013944,Surbiton Hill,2,Male,5156
E05013945,Tolworth,1,Female,5765
E05013945,Tolworth,2,Male,5423
E05013946,Tudor (Kingston upon Thames),1,Female,3594
E05013946,Tudor (Kingston upon Thames),2,Male,3350
E05013967,Beam Park,1,Female,2523
E05013967,Beam Park,2,Male,2360
E05013968,Cranham,1,Female,6799
E05013968,Cranham,2,Male,6188
E05013969,Elm Park,1,Female,8629
E05013969,Elm Park,2,Male,8017
E05013970,Emerson Park,1,Female,4838
E05013970,Emerson Park,2,Male,4697
E05013971,Gooshays,1,Female,9199
E05013971,Gooshays,2,Male,8581
E05013972,Hacton,1,Female,4369
E05013972,Hacton,2,Male,4120
E05013973,Harold Wood,1,Female,7139
E05013973,Harold Wood,2,Male,6668
E05013974,Havering-atte-Bower,1,Female,8603
E05013974,Havering-atte-Bower,2,Male,7771
E05013975,Heaton (Havering),1,Female,8942
E05013975,Heaton (Havering),2,Male,8269
E05013976,Hylands & Harrow Lodge,1,Female,7135
E05013976,Hylands & Harrow Lodge,2,Male,6623
E05013977,Marshalls & Rise Park,1,Female,6569
E05013977,Marshalls & Rise Park,2,Male,6385
E05013978,Mawneys,1,Female,7544
E05013978,Mawneys,2,Male,6934
E05013979,Rainham & Wennington,1,Female,7034
E05013979,Rainham & Wennington,2,Male,6533
E05013980,Rush Green & Crowlands,1,Female,8351
E05013980,Rush Green & Crowlands,2,Male,7671
E05013981,St Alban's,1,Female,4535
E05013981,St Alban's,2,Male,4202
E05013982,St Andrew's (Havering),1,Female,7582
E05013982,St Andrew's (Havering),2,Male,7072
E05013983,St Edward's,1,Female,5434
E05013983,St Edward's,2,Male,4989
E05013984,South Hornchurch,1,Female,5525
E05013984,South Hornchurch,2,Male,5359
E05013985,Squirrels Heath,1,Female,8000
E05013985,Squirrels Heath,2,Male,7517
E05013986,Upminster,1,Female,6918
E05013986,Upminster,2,Male,6429
E05013987,Beckenham Town & Copers Cope,1,Female,8519
E05013987,Beckenham Town & Copers Cope,2,Male,7844
E05013988,Bickley & Sundridge,1,Female,9391
E05013988,Bickley & Sundridge,2,Male,8375
E05013989,Biggin Hill,1,Female,5583
E05013989,Biggin Hill,2,Male,5234
E05013990,Bromley Common & Holwood,1,Female,9752
E05013990,Bromley Common & Holwood,2,Male,9029
E05013991,Bromley Town,1,Female,7888
E05013991,Bromley Town,2,Male,7512
E05013992,Chelsfield,1,Female,5782
E05013992,Chelsfield,2,Male,5452
E05013993,Chislehurst,1,Female,8025
E05013993,Chislehurst,2,Male,7544
E05013994,Clock House,1,Female,9057
E05013994,Clock House,2,Male,8302
E05013995,Crystal Palace & Anerley,1,Female,6356
E05013995,Crystal Palace & Anerley,2,Male,5673
E05013996,Darwin,1,Female,2923
E05013996,Darwin,2,Male,2849
E05013997,Farnborough & Crofton,1,Female,9256
E05013997,Farnborough & Crofton,2,Male,8449
E05013998,Hayes & Coney Hall,1,Female,8165
E05013998,Hayes & Coney Hall,2,Male,7743
E05013999,Kelsey & Eden Park,1,Female,8008
E05013999,Kelsey & Eden Park,2,Male,7457
E05014000,Mottingham,1,Female,6123
E05014000,Mottingham,2,Male,5365
E05014001,Orpington,1,Female,6217
E05014001,Orpington,2,Male,5743
E05014002,Penge & Cator,1,Female,9966
E05014002,Penge & Cator,2,Male,8943
E05014003,Petts Wood & Knoll,1,Female,8876
E05014003,Petts Wood & Knoll,2,Male,8383
E05014004,Plaistow,1,Female,7121
E05014004,Plaistow,2,Male,6357
E05014005,Shortlands & Park Langley,1,Female,8315
E05014005,Shortlands & Park Langley,2,Male,7892
E05014006,St Mary Cray,1,Female,9713
E05014006,St Mary Cray,2,Male,8723
E05014007,St Paul's Cray,1,Female,9128
E05014007,St Paul's Cray,2,Male,8183
E05014008,West Wickham,1,Female,7565
E05014008,West Wickham,2,Male,7203
E05014009,Balham,1,Female,9276
E05014009,Balham,2,Male,8431
E05014010,Battersea Park,1,Female,10130
E05014010,Battersea Park,2,Male,9046
E05014011,East Putney,1,Female,8848
E05014011,East Putney,2,Male,8070
E05014012,Falconbrook,1,Female,6385
E05014012,Falconbrook,2,Male,5597
E05014013,Furzedown,1,Female,9444
E05014013,Furzedown,2,Male,8609
E05014014,Lavender,1,Female,6956
E05014014,Lavender,2,Male,6496
E05014015,Nine Elms,1,Female,2701
E05014015,Nine Elms,2,Male,2695
E05014016,Northcote,1,Female,6640
E05014016,Northcote,2,Male,6223
E05014017,Roehampton,1,Female,10069
E05014017,Roehampton,2,Male,8777
E05014018,St Mary's (Wandsworth),1,Female,7393
E05014018,St Mary's (Wandsworth),2,Male,6790
E05014019,Shaftesbury & Queenstown,1,Female,8082
E05014019,Shaftesbury & Queenstown,2,Male,7099
E05014020,South Balham,1,Female,5206
E05014020,South Balham,2,Male,4624
E05014021,Southfields,1,Female,6716
E05014021,Southfields,2,Male,5943
E05014022,Thamesfield,1,Female,8716
E05014022,Thamesfield,2,Male,8001
E05014023,Tooting Bec,1,Female,9190
E05014023,Tooting Bec,2,Male,7838
E05014024,Tooting Broadway,1,Female,9086
E05014024,Tooting Broadway,2,Male,8131
E05014025,Trinity (Wandsworth),1,Female,5904
E05014025,Trinity (Wandsworth),2,Male,5277
E05014026,Wandle (Wandsworth),1,Female,5604
E05014026,Wandle (Wandsworth),2,Male,4981
E05014027,Wandsworth Common,1,Female,8470
E05014027,Wandsworth Common,2,Male,8123
E05014028,Wandsworth Town,1,Female,9512
E05014028,Wandsworth Town,2,Male,8699
E05014029,West Hill (Wandsworth),1,Female,8848
E05014029,West Hill (Wandsworth),2,Male,7967
E05014030,West Putney,1,Female,9077
E05014030,West Putney,2,Male,7833
E05014053,Abbey (Barking and Dagenham),1,Female,1945
E05014053,Abbey (Barking and Dagenham),2,Male,2010
E05014054,Alibon,1,Female,5205
E05014054,Alibon,2,Male,4824
E05014055,Barking Riverside,1,Female,5169
E05014055,Barking Riverside,2,Male,4786
E05014056,Beam,1,Female,4429
E05014056,Beam,2,Male,4181
E05014057,Becontree,1,Female,4968
E05014057,Becontree,2,Male,4831
E05014058,Chadwell Heath,1,Female,7340
E05014058,Chadwell Heath,2,Male,6746
E05014059,Eastbrook & Rush Green,1,Female,4431
E05014059,Eastbrook & Rush Green,2,Male,4218
E05014060,Eastbury,1,Female,7951
E05014060,Eastbury,2,Male,7649
E05014061,Gascoigne,1,Female,5525
E05014061,Gascoigne,2,Male,5306
E05014062,Goresbrook,1,Female,6860
E05014062,Goresbrook,2,Male,6210
E05014063,Heath (Barking and Dagenham),1,Female,4716
E05014063,Heath (Barking and Dagenham),2,Male,4278
E05014064,Longbridge,1,Female,6614
E05014064,Longbridge,2,Male,6694
E05014065,Mayesbrook,1,Female,8169
E05014065,Mayesbrook,2,Male,7753
E05014066,Northbury,1,Female,6511
E05014066,Northbury,2,Male,6569
E05014067,Parsloes,1,Female,7804
E05014067,Parsloes,2,Male,7447
E05014068,Thames View,1,Female,3066
E05014068,Thames View,2,Male,2939
E05014069,Valence,1,Female,8072
E05014069,Valence,2,Male,7409
E05014070,Village (Barking and Dagenham),1,Female,6524
E05014070,Village (Barking and Dagenham),2,Male,6016
E05014071,Whalebone,1,Female,6989
E05014071,Whalebone,2,Male,6717
E05014072,Abbey Wood,1,Female,9035
E05014072,Abbey Wood,2,Male,8654
E05014073,Blackheath Westcombe,1,Female,7858
E05014073,Blackheath Westcombe,2,Male,7177
E05014074,Charlton Hornfair,1,Female,6345
E05014074,Charlton Hornfair,2,Male,5963
E05014075,Charlton Village & Riverside,1,Female,5389
E05014075,Charlton Village & Riverside,2,Male,5127
E05014076,East Greenwich,1,Female,7406
E05014076,East Greenwich,2,Male,7074
E05014077,Eltham Page,1,Female,5033
E05014077,Eltham Page,2,Male,4719
E05014078,Eltham Park & Progress,1,Female,5625
E05014078,Eltham Park & Progress,2,Male,5141
E05014079,Eltham Town & Avery Hill,1,Female,8163
E05014079,Eltham Town & Avery Hill,2,Male,7372
E05014080,Greenwich Creekside,1,Female,5749
E05014080,Greenwich Creekside,2,Male,5250
E05014081,Greenwich Park,1,Female,5448
E05014081,Greenwich Park,2,Male,5106
E05014082,Greenwich Peninsula,1,Female,5771
E05014082,Greenwich Peninsula,2,Male,5646
E05014083,Kidbrooke Park,1,Female,5201
E05014083,Kidbrooke Park,2,Male,4888
E05014084,Kidbrooke Village & Sutcliffe,1,Female,3216
E05014084,Kidbrooke Village & Sutcliffe,2,Male,2889
E05014085,Middle Park & Horn Park,1,Female,5063
E05014085,Middle Park & Horn Park,2,Male,4454
E05014086,"Mottingham, Coldharbour & New Eltham",1,Female,7387
E05014086,"Mottingham, Coldharbour & New Eltham",2,Male,7145
E05014087,Plumstead & Glyndon,1,Female,11153
E05014087,Plumstead & Glyndon,2,Male,10818
E05014088,Plumstead Common,1,Female,7920
E05014088,Plumstead Common,2,Male,7249
E05014089,Shooters Hill,1,Female,6102
E05014089,Shooters Hill,2,Male,5789
E05014090,Thamesmead Moorings,1,Female,6449
E05014090,Thamesmead Moorings,2,Male,6003
E05014091,West Thamesmead,1,Female,5460
E05014091,West Thamesmead,2,Male,6355
E05014092,Woolwich Arsenal,1,Female,6132
E05014092,Woolwich Arsenal,2,Male,5968
E05014093,Woolwich Common,1,Female,6635
E05014093,Woolwich Common,2,Male,6053
E05014094,Woolwich Dockyard,1,Female,6031
E05014094,Woolwich Dockyard,2,Male,5657
E05014095,Brixton Acre Lane,1,Female,7517
E05014095,Brixton Acre Lane,2,Male,7735
E05014096,Brixton North,1,Female,8443
E05014096,Brixton North,2,Male,7881
E05014097,Brixton Rush Common,1,Female,7895
E05014097,Brixton Rush Common,2,Male,7035
E05014098,Brixton Windrush,1,Female,4920
E05014098,Brixton Windrush,2,Male,4562
E05014099,Clapham Common & Abbeville,1,Female,5192
E05014099,Clapham Common & Abbeville,2,Male,4823
E05014100,Clapham East,1,Female,5198
E05014100,Clapham East,2,Male,4647
E05014101,Clapham Park,1,Female,6603
E05014101,Clapham Park,2,Male,6108
E05014102,Clapham Town,1,Female,8127
E05014102,Clapham Town,2,Male,7777
E05014103,Gipsy Hill,1,Female,5473
E05014103,Gipsy Hill,2,Male,4784
E05014104,Herne Hill & Loughborough Junction,1,Female,8431
E05014104,Herne Hill & Loughborough Junction,2,Male,7725
E05014105,Kennington (Lambeth),1,Female,7378
E05014105,Kennington (Lambeth),2,Male,7225
E05014106,Knight's Hill,1,Female,8968
E05014106,Knight's Hill,2,Male,7939
E05014107,Myatt's Fields,1,Female,5625
E05014107,Myatt's Fields,2,Male,5307
E05014108,Oval,1,Female,6079
E05014108,Oval,2,Male,6362
E05014109,St Martin's (Lambeth),1,Female,5775
E05014109,St Martin's (Lambeth),2,Male,5069
E05014110,Stockwell East,1,Female,5440
E05014110,Stockwell East,2,Male,5306
E05014111,Stockwell West & Larkhall,1,Female,8310
E05014111,Stockwell West & Larkhall,2,Male,8022
E05014112,Streatham Common & Vale,1,Female,9076
E05014112,Streatham Common & Vale,2,Male,8583
E05014113,Streatham Hill East,1,Female,5120
E05014113,Streatham Hill East,2,Male,4757
E05014114,Streatham Hill West & Thornton,1,Female,5685
E05014114,Streatham Hill West & Thornton,2,Male,5206
E05014115,Streatham St Leonard's,1,Female,8122
E05014115,Streatham St Leonard's,2,Male,7692
E05014116,Streatham Wells,1,Female,5066
E05014116,Streatham Wells,2,Male,4691
E05014117,Vauxhall (Lambeth),1,Female,4733
E05014117,Vauxhall (Lambeth),2,Male,5000
E05014118,Waterloo & South Bank,1,Female,4512
E05014118,Waterloo & South Bank,2,Male,4346
E05014119,West Dulwich,1,Female,6028
E05014119,West Dulwich,2,Male,5356
E09000001,City of London,1,Female,3861
E09000001,City of London,2,Male,4722